"","x"
"1",405.24
"2",409.28
"3",407.26
"4",402.16
"5",404.58
"6",407.28
"7",405.47
"8",413.83
"9",406.41
"10",404.73
"11",408.54
"12",408.79
"13",412.6
"14",398.33
"15",407.94
"16",410.13
"17",413.92
"18",402.15
"19",370.26
"20",409.69
"21",384.91
"22",408.3
"23",396.3
"24",409.41
"25",403.25
"26",382.95
"27",405.81
"28",411.12
"29",376.48
"30",409.28
"31",404.91
"32",389.21
"33",405.55
"34",402.98
"35",396.62
"36",341.82
"37",410.66
"38",403.07
"39",409.49
"40",408.35
"41",405.53
"42",414.52
"43",405.92
"44",405.28
"45",394.32
"46",412.64
"47",406.12
"48",413.01
"49",409.06
"50",407.37
"51",398.46
"52",408.89
"53",411.69
"54",417.37
"55",404.29
"56",409.57
"57",394.75
"58",410.09
"59",400.82
"60",405.81
"61",407.26
"62",410.42
"63",403.07
"64",407.83
"65",410.69
"66",414
"67",408.89
"68",414.29
"69",410.56
"70",405.09
"71",410.79
"72",394.26
"73",406.74
"74",410.79
"75",409.34
"76",409.42
"77",408.46
"78",399.28
"79",401.13
"80",410.46
"81",406.88
"82",406.14
"83",411.31
"84",415.03
"85",405.55
"86",413.32
"87",408.24
"88",411.44
"89",410.69
"90",412.91
"91",411.76
"92",406.14
"93",407.05
"94",397.17
"95",410.18
"96",327.65
"97",406.26
"98",410.43
"99",400.85
"100",410.54
"101",403.35
"102",408.78
"103",416.4
"104",407.83
"105",413.01
"106",406.83
"107",406.08
"108",399.67
"109",406.15
"110",409.38
"111",402.15
"112",414.68
"113",409.19
"114",411.42
"115",411.28
"116",410.33
"117",408.26
"118",410.57
"119",407.02
"120",402.49
"121",410.02
"122",409.49
"123",400.54
"124",406.7
"125",404.23
"126",412.5
"127",403.88
"128",402.21
"129",404.52
"130",410.6
"131",390.34
"132",59.79
"133",404.36
"134",404.9
"135",407.19
"136",409.29
"137",407.01
"138",392.46
"139",410.2
"140",45.13
"141",391.54
"142",403.8
"143",409.12
"144",407.76
"145",408.93
"146",400.83
"147",401.87
"148",412.33
"149",407.08
"150",398.15
"151",410.01
"152",408.55
"153",87.18
"154",406.19
"155",405.03
"156",396.4
"157",407.13
"158",401.66
"159",400.87
"160",398.31
"161",396.86
"162",408.12
"163",405.97
